"bnum","int","cit","fsta","aktk","bed","aktf","aeda","uhr","mvnr","lfnr","ndat","nuhr","oaid","_hoodie_commit_time","sys_shard"
"723279012","15222612","2430","11","1909","8880888","WCR","2023-03-09 00:00:00.000","151915","9492192937","34.0","2023-03-09 00:00:00.000","151915","1028390106","20230707135908","50"
"725800369","15222612","2430","11","2972","8880888","WCR","2023-03-25 00:00:00.000","84917","9492495289","52.0","2023-03-25 00:00:00.000","84917","1028711504","20230707135908","10"
"721974315","15222612","11","11","534","8880888","WCR","2023-03-01 00:00:00.000","102158","9491892197","6.0","2023-03-01 00:00:00.000","102158","1025991142","20230707135908","68"
"735612268","15222612","1269","0","12605","9000044354","OUT","2023-05-19 00:00:00.000","143028","9494458512","154.0","2023-05-19 00:00:00.000","143028","1031572765","20230707135908","53"
"723957561","15222612","2430","0","1910","94233","LOE","2023-03-14 00:00:00.000","85639","0","45.0","2023-03-14 00:00:00.000","85641","0","20230707135908","3"
"723457875","15222612","2430","3","1910","96454","BLO","2023-03-10 00:00:00.000","134307","0","37.0","2023-03-10 00:00:00.000","134307","0","20230707135908","65"
"735574571","15222612","1269","1","12605","8880888","FER","2023-05-19 00:00:00.000","112509","0","152.0","2023-05-19 00:00:00.000","112509","0","20230707135908","44"
"726080729","15222612","2097","1","3078","8880888","FER","2023-03-27 00:00:00.000","80358","9492652964","58.0","2023-03-27 00:00:00.000","80358","1029139515","20230707135908","69"
"731774096","15222612","10","4","7800","8880888","WCR","2023-04-28 00:00:00.000","154220","9493687187","107.0","2023-04-28 00:00:00.000","154220","1030560355","20230707135908","53"
"731782904","15222612","10","0","7800","10016640","OUT","2023-04-28 00:00:00.000","161556","9493743858","110.0","2023-04-28 00:00:00.000","161556","1029949245","20230707135908","15"
"729911048","15222612","364","0","5609","9000045630","OUT","2023-04-18 00:00:00.000","165813","9493394628","82.0","2023-04-18 00:00:00.000","165813","1029223308","20230707135908","7"
"731780161","15222612","10","1","7800","8880888","FER","2023-04-28 00:00:00.000","160539","9493687187","108.0","2023-04-28 00:00:00.000","160539","1030560355","20230707135908","46"
"723057870","15222612","2430","4","1439","8880888","IN","2023-03-08 00:00:00.000","80524","9492167612","29.0","2023-03-08 00:00:00.000","80524","1028172664","20230707135908","46"
"722293154","15222612","45369","3","701","98041","BLO","2023-03-03 00:00:00.000","93817","9492062898","19.0","2023-03-03 00:00:00.000","93817","1028148261","20230707135908","62"
"723299610","15222612","2430","1","1910","8880888","FER","2023-03-09 00:00:00.000","170952","9492192937","36.0","2023-03-09 00:00:00.000","170952","1028390106","20230707135908","14"
"732468248","15222612","10","99","8456","9000024429","FER","2023-05-02 00:00:00.000","161237","0","119.0","2023-05-02 00:00:00.000","161237","0","20230707135908","34"
"734991542","15222612","162","0","12213","9000046363","OUT","2023-05-16 00:00:00.000","91644","9494334739","138.0","2023-05-16 00:00:00.000","91644","0","20230707135908","58"
"729737014","15222612","364","4","3699","9000010675","IN","2023-03-29 00:00:00.000","155800","9492779803","75.0","2023-04-17 00:00:00.000","173318","0","20230707135908","3"
"723952676","15222612","2430","4","1910","94229","IN","2023-03-11 00:00:00.000","100000","9492268878","43.0","2023-03-14 00:00:00.000","82734","0","20230707135908","15"
"726525556","15222612","364","99","3699","9000010675","FER","2023-03-29 00:00:00.000","153521","0","71.0","2023-03-29 00:00:00.000","153521","0","20230707135908","8"
"733469184","15222612","10","4","9468","8880888","IN","2023-05-08 00:00:00.000","95750","9493861943","122.0","2023-05-08 00:00:00.000","95750","0","20230707135908","78"
